"year";"mean_temp";"resid_temp";"site"
"P800044PCAB_clim.39";1999;15.5603060722351;0.83575783570606;"P800044PCAB"
"P800044PCAB_clim.40";2000;15.4971100489298;0.772561812400799;"P800044PCAB"
"P800044PCAB_clim.41";2001;14.4007595380147;-0.323788698514324;"P800044PCAB"
"P800044PCAB_clim.42";2002;15.5528400739034;0.828291837374366;"P800044PCAB"
"P800044PCAB_clim.43";2003;16.0697994232178;1.34525118668874;"P800044PCAB"
"P800044PCAB_clim.44";2004;14.5003004074097;-0.224247829119353;"P800044PCAB"
"P800044PCAB_clim.45";2005;14.9267764091492;0.202228172620138;"P800044PCAB"
"P800044PCAB_clim.46";2006;15.551916440328;0.827368203798919;"P800044PCAB"
"P800044PCAB_clim.47";2007;15.7005079587301;0.975959722201015;"P800044PCAB"
"P800044PCAB_clim.48";2008;15.1353497505188;0.410801513989785;"P800044PCAB"
"P800044PCAB_clim.49";2009;16.0889096260071;1.36436138947805;"P800044PCAB"
"P800044PCAB_clim.50";2010;14.7496204376221;0.025072201093046;"P800044PCAB"
"P800044PCAB_clim.51";2011;15.4746236801147;0.750075443585715;"P800044PCAB"
"P800044PCAB_clim.52";2012;16.0399039586385;1.31535572210948;"P800044PCAB"
"P800044PCAB_clim.53";2013;14.9904618263245;0.265913589795421;"P800044PCAB"
"P800044PCAB_clim.54";2014;15.1344757080078;0.409927471478781;"P800044PCAB"
"P800044PCAB_clim.55";2015;15.8593160311381;1.13476779460907;"P800044PCAB"
"P800044PCAB_clim.56";2016;15.5540521939596;0.82950395743052;"P800044PCAB"
"P800044PCAB_clim.57";2017;15.4317092100779;0.707160973548886;"P800044PCAB"
"P800044PCAB_clim.58";2018;17.5726307233175;2.84808248678845;"P800044PCAB"
"P800044PCAB_clim.59";2019;15.9714682896932;1.24692005316416;"P800044PCAB"
"P800044PCAB_clim.60";2020;15.0369191169739;0.312370880444833;"P800044PCAB"
"P800046ABAL_clim.1";1961;13.1831725438436;-0.256468122535289;"P800046ABAL"
"P800046ABAL_clim.2";1962;12.1836635271708;-1.25597713920805;"P800046ABAL"
"P800046ABAL_clim.3";1963;13.7759147485097;0.336274082130856;"P800046ABAL"
"P800046ABAL_clim.4";1964;13.226468483607;-0.213172182771883;"P800046ABAL"
"P800046ABAL_clim.5";1965;12.1367728710175;-1.30286779536141;"P800046ABAL"
"P800046ABAL_clim.6";1966;12.9743954340617;-0.465245232317194;"P800046ABAL"
"P800046ABAL_clim.7";1967;13.3505754470825;-0.0890652192963568;"P800046ABAL"
"P800046ABAL_clim.8";1968;12.9794541994731;-0.460186466905796;"P800046ABAL"
"P800046ABAL_clim.9";1969;13.0174616972605;-0.422178969118335;"P800046ABAL"
"P800046ABAL_clim.10";1970;12.2999661763509;-1.13967449002797;"P800046ABAL"
"P800046ABAL_clim.11";1971;13.2813085714976;-0.158332094881256;"P800046ABAL"
"P800046ABAL_clim.12";1972;12.5828935305278;-0.856747135851109;"P800046ABAL"
"P800046ABAL_clim.13";1973;12.6589367389679;-0.78070392741097;"P800046ABAL"
"P800046ABAL_clim.14";1974;12.1726027329763;-1.26703793340262;"P800046ABAL"
"P800046ABAL_clim.15";1975;13.3310742378235;-0.108566428555379;"P800046ABAL"
