"year";"min_spei1";"min_spei3";"mean_spei1";"mean_spei3";"site"
"P800046ABAL_clim.56";2016;-1.66714676696956;-1.55988576425959;-0.491280470946677;-0.49682143642905;"P800046ABAL"
"P800046ABAL_clim.57";2017;-1.45716881672267;-2.30124458750607;-0.282128784644536;-0.706872743837424;"P800046ABAL"
"P800046ABAL_clim.58";2018;-2.20851283724565;-2.45047520132717;-0.73961911142873;-1.54534856661976;"P800046ABAL"
"P800046ABAL_clim.59";2019;-1.71909259093488;-0.73575172908148;0.126385667656068;-0.0164735459441082;"P800046ABAL"
"P800046ABAL_clim.60";2020;-1.581424096569;-0.991303011075281;0.482173670956893;0.432101119802787;"P800046ABAL"
"P800052QURO_clim.1";1961;-0.627219185147872;-1.05806185078436;0.334633672064311;0.433569619334715;"P800052QURO"
"P800052QURO_clim.2";1962;-1.0741943534416;-1.16244079958313;-0.0745194248779201;0.325604121661949;"P800052QURO"
"P800052QURO_clim.3";1963;-1.39150014227548;-0.0999356939584313;0.284749100118251;0.348264769693251;"P800052QURO"
"P800052QURO_clim.4";1964;-1.13911862662832;-0.35458059651179;-0.128184991940383;0.0340999080748637;"P800052QURO"
"P800052QURO_clim.5";1965;0.240949717079031;0.970925698899531;1.02981131805277;1.59856376964396;"P800052QURO"
"P800052QURO_clim.6";1966;-0.308132938791893;-0.581902812763737;0.542920568543792;0.800667305496489;"P800052QURO"
"P800052QURO_clim.7";1967;-0.510629284420405;-0.556912715099662;0.0652066378356025;-0.245596407313857;"P800052QURO"
"P800052QURO_clim.8";1968;-0.673687368021073;-0.665203443550951;-0.0844446994205116;-0.252678585399224;"P800052QURO"
"P800052QURO_clim.9";1969;-1.35158153530585;-1.0389365492869;-0.197669278775596;0.0591120072813169;"P800052QURO"
"P800052QURO_clim.10";1970;-1.07751125419451;-0.504067930471959;0.0939704983566673;0.556763700449428;"P800052QURO"
"P800052QURO_clim.11";1971;-1.0237863974799;-0.821849627620291;-0.266042138429922;-0.374629431296471;"P800052QURO"
"P800052QURO_clim.12";1972;-0.760911074561708;0.67523752260182;0.756416592900263;1.0894733950073;"P800052QURO"
"P800052QURO_clim.13";1973;-0.9490958096443;-0.628379766539799;-0.0172777582485856;-0.0610024803313391;"P800052QURO"
"P800052QURO_clim.14";1974;-0.805060557384272;-1.86526129437428;0.217364928339243;0.105549382957328;"P800052QURO"
"P800052QURO_clim.15";1975;-1.16492715558957;-0.564667965915815;0.0455598201970635;0.241310649758457;"P800052QURO"
"P800052QURO_clim.16";1976;-1.39023222402375;-1.32819194836994;-0.443637106873415;-0.93673715470711;"P800052QURO"
"P800052QURO_clim.17";1977;-0.823172106113136;-0.841086230412103;0.210928670109511;0.330531882230019;"P800052QURO"
"P800052QURO_clim.18";1978;-0.40324564350982;-0.245610634414688;0.201930330961212;0.230286320879113;"P800052QURO"
"P800052QURO_clim.19";1979;-1.47198810656977;0.197102271368107;0.455331686076386;0.710943487533085;"P800052QURO"
"P800052QURO_clim.20";1980;-0.726580572201368;-0.351985584495446;0.388599986249384;0.77270903491262;"P800052QURO"
"P800052QURO_clim.21";1981;-1.08706489155755;-0.405520518390786;0.20971918848016;0.295066428128432;"P800052QURO"
"P800052QURO_clim.22";1982;-1.73584418569288;-0.852418083316691;-0.0511188433376528;0.0391485882289915;"P800052QURO"
"P800052QURO_clim.23";1983;-1.92076834653475;-2.1555287865894;-0.553106721244926;-0.780648401978895;"P800052QURO"
"P800052QURO_clim.24";1984;-0.819901676281895;-0.551434046894022;0.591068232013568;0.858808442190566;"P800052QURO"
