"year";"min_bal";"mean_bal";"site"
"P800046ABAL_clim.13";1973;-62.1834768636231;-22.0963366510967;"P800046ABAL"
"P800046ABAL_clim.14";1974;-47.3470830850297;10.3780526500823;"P800046ABAL"
"P800046ABAL_clim.15";1975;-43.5405111436628;-2.53175662724625;"P800046ABAL"
"P800046ABAL_clim.16";1976;-65.2240688273733;-12.2768898025487;"P800046ABAL"
"P800046ABAL_clim.17";1977;-43.3118830642456;24.3478575140222;"P800046ABAL"
"P800046ABAL_clim.18";1978;-40.4629554524115;-0.198609610296175;"P800046ABAL"
"P800046ABAL_clim.19";1979;-35.9355907249566;-11.4720742890892;"P800046ABAL"
"P800046ABAL_clim.20";1980;-32.9854330666849;20.3556384900497;"P800046ABAL"
"P800046ABAL_clim.21";1981;-24.5407621606572;11.4539624394437;"P800046ABAL"
"P800046ABAL_clim.22";1982;-42.0694594650941;-6.59769759520683;"P800046ABAL"
"P800046ABAL_clim.23";1983;-75.2328720524714;-34.5880078540876;"P800046ABAL"
"P800046ABAL_clim.24";1984;-20.8534709607383;-7.1429847030333;"P800046ABAL"
"P800046ABAL_clim.25";1985;-36.4319987415079;14.7493115712076;"P800046ABAL"
"P800046ABAL_clim.26";1986;-47.6678932326906;-11.8637656979391;"P800046ABAL"
"P800046ABAL_clim.27";1987;-33.4074696759855;23.8852425847687;"P800046ABAL"
"P800046ABAL_clim.28";1988;-51.7211377180427;-18.0122178397499;"P800046ABAL"
"P800046ABAL_clim.29";1989;-44.4493819527085;-1.92253517282871;"P800046ABAL"
"P800046ABAL_clim.30";1990;-67.4632760990766;3.52757505934145;"P800046ABAL"
"P800046ABAL_clim.31";1991;-45.885876588697;-5.56741945765007;"P800046ABAL"
"P800046ABAL_clim.32";1992;-108.055197183504;-38.1243320018278;"P800046ABAL"
"P800046ABAL_clim.33";1993;-62.058950061696;-32.3017878942836;"P800046ABAL"
"P800046ABAL_clim.34";1994;-64.1494399269089;4.89575565038623;"P800046ABAL"
"P800046ABAL_clim.35";1995;-87.5619225382749;9.45951135898091;"P800046ABAL"
"P800046ABAL_clim.36";1996;-39.2618176435382;24.5419272928852;"P800046ABAL"
"P800046ABAL_clim.37";1997;-33.3845673635933;63.6739336704392;"P800046ABAL"
"P800046ABAL_clim.38";1998;-40.7735995153666;14.2066672491904;"P800046ABAL"
"P800046ABAL_clim.39";1999;-59.9074105245908;-9.35916007205184;"P800046ABAL"
"P800046ABAL_clim.40";2000;-74.3801100063745;-5.73563947654178;"P800046ABAL"
"P800046ABAL_clim.41";2001;-35.3714130063251;38.999337556163;"P800046ABAL"
"P800046ABAL_clim.42";2002;-54.4473686235276;-9.23454333535044;"P800046ABAL"
"P800046ABAL_clim.43";2003;-107.869124567412;-40.0186155471302;"P800046ABAL"
"P800046ABAL_clim.44";2004;-54.865897519171;-20.4264899418235;"P800046ABAL"
"P800046ABAL_clim.45";2005;-45.2474500241227;-4.66465608838581;"P800046ABAL"
"P800046ABAL_clim.46";2006;-122.991025551609;-1.43267710089443;"P800046ABAL"
"P800046ABAL_clim.47";2007;-55.647346537329;-8.07134511210175;"P800046ABAL"
"P800046ABAL_clim.48";2008;-69.9373401334759;-15.8201657909577;"P800046ABAL"
"P800046ABAL_clim.49";2009;-59.250150376964;-32.6112027193548;"P800046ABAL"
"P800046ABAL_clim.50";2010;-21.9131407953982;39.62365615743;"P800046ABAL"
"P800046ABAL_clim.51";2011;-54.871691578318;-13.3689709736901;"P800046ABAL"
"P800046ABAL_clim.52";2012;-70.8877852751806;-30.4786196661481;"P800046ABAL"
"P800046ABAL_clim.53";2013;-113.472152593516;-13.5009551303934;"P800046ABAL"
"P800046ABAL_clim.54";2014;-51.4131735642373;9.90252945454328;"P800046ABAL"
"P800046ABAL_clim.55";2015;-98.6627373737178;-49.9072127886586;"P800046ABAL"
"P800046ABAL_clim.56";2016;-80.4672885024046;-20.4220367607956;"P800046ABAL"
"P800046ABAL_clim.57";2017;-88.9930323122002;-16.764676410646;"P800046ABAL"
"P800046ABAL_clim.58";2018;-62.0988029193693;-34.665465648826;"P800046ABAL"
"P800046ABAL_clim.59";2019;-83.1320934985734;0.971976736308618;"P800046ABAL"
"P800046ABAL_clim.60";2020;-43.786123771348;19.0468327253381;"P800046ABAL"
"P800052QURO_clim.1";1961;-59.118824781299;-21.7389549263664;"P800052QURO"
"P800052QURO_clim.2";1962;-81.6463976914308;-36.1538527061036;"P800052QURO"
"P800052QURO_clim.3";1963;-100.994046678681;-25.228990004001;"P800052QURO"
"P800052QURO_clim.4";1964;-68.626300279269;-36.0644353910019;"P800052QURO"
"P800052QURO_clim.5";1965;-20.102081204653;0.0760889432779817;"P800052QURO"
"P800052QURO_clim.6";1966;-34.2562859573683;-7.94063258057159;"P800052QURO"
"P800052QURO_clim.7";1967;-68.9847856554825;-31.9018359163556;"P800052QURO"
"P800052QURO_clim.8";1968;-66.3235880504992;-34.1634007957026;"P800052QURO"
"P800052QURO_clim.9";1969;-82.7121978602581;-38.9034212001006;"P800052QURO"
"P800052QURO_clim.10";1970;-54.5067940268453;-28.9357493142033;"P800052QURO"
"P800052QURO_clim.11";1971;-75.1526183601614;-42.9320437353245;"P800052QURO"
"P800052QURO_clim.12";1972;-64.2635142473426;-7.1161025671559;"P800052QURO"
"P800052QURO_clim.13";1973;-77.9153035054713;-35.6243194442172;"P800052QURO"
"P800052QURO_clim.14";1974;-45.2172088996549;-22.0303594171752;"P800052QURO"
"P800052QURO_clim.15";1975;-53.9541454014198;-31.7079154587304;"P800052QURO"
"P800052QURO_clim.16";1976;-88.7715139205025;-49.3981353698793;"P800052QURO"
"P800052QURO_clim.17";1977;-68.0053292534247;-24.3460367631236;"P800052QURO"
"P800052QURO_clim.18";1978;-58.9445250655174;-29.1832215340718;"P800052QURO"
"P800052QURO_clim.19";1979;-65.3268471702048;-19.97350255512;"P800052QURO"
"P800052QURO_clim.20";1980;-71.2524941674003;-22.3673064584187;"P800052QURO"
"P800052QURO_clim.21";1981;-82.03004981467;-26.6762124643178;"P800052QURO"
"P800052QURO_clim.22";1982;-67.7749205703045;-33.3528815604284;"P800052QURO"
"P800052QURO_clim.23";1983;-116.891177537905;-52.3347330990498;"P800052QURO"
"P800052QURO_clim.24";1984;-66.363020138821;-16.3671489376028;"P800052QURO"
"P800052QURO_clim.25";1985;-44.3656850425238;-10.4791112741584;"P800052QURO"
"P800052QURO_clim.26";1986;-49.8017958191918;-28.1823299185892;"P800052QURO"
"P800052QURO_clim.27";1987;-51.9991303176087;-11.980187979023;"P800052QURO"
"P800052QURO_clim.28";1988;-54.1463231093532;-28.2378439867363;"P800052QURO"
"P800052QURO_clim.29";1989;-98.6289578257602;-37.9232368229833;"P800052QURO"
"P800052QURO_clim.30";1990;-87.4110626295726;-29.9422722073852;"P800052QURO"
"P800052QURO_clim.31";1991;-64.4880732904764;-25.8941384365531;"P800052QURO"
"P800052QURO_clim.32";1992;-102.890978124162;-55.1302776233692;"P800052QURO"
"P800052QURO_clim.33";1993;-64.4125917462914;-44.0093514774767;"P800052QURO"
"P800052QURO_clim.34";1994;-102.871462279146;-41.0368097147565;"P800052QURO"
"P800052QURO_clim.35";1995;-114.218620252096;-17.2220120579589;"P800052QURO"
"P800052QURO_clim.36";1996;-61.9831265439198;-11.6759474346016;"P800052QURO"
"P800052QURO_clim.37";1997;-74.0417244624671;-12.5738519565768;"P800052QURO"
"P800052QURO_clim.38";1998;-83.8263477061311;-34.8768758983902;"P800052QURO"
"P800052QURO_clim.39";1999;-73.9083644209194;-39.9703355342525;"P800052QURO"
"P800052QURO_clim.40";2000;-95.7773212902948;-51.4769223149073;"P800052QURO"
"P800052QURO_clim.41";2001;-62.260577452987;-23.8978908087577;"P800052QURO"
