"site_code","tree_id","tree_core_id","year","value","detrend_value"
"P810405ABAL",1,"0101a",1930,"130.0","85.0"
"P810405ABAL",1,"0101a",1931,"106.0","70.0"
"P810405ABAL",1,"0101a",1932,"166.0","110.0"
"P810405ABAL",1,"0101a",1933,"151.0","101.0"
"P810405ABAL",1,"0101a",1934,"117.0","79.0"
"P810405ABAL",1,"0101a",1935,"102.0","69.0"
"P810405ABAL",1,"0101a",1936,"168.0","115.0"
"P810405ABAL",1,"0101a",1937,"149.0","103.0"
"P810405ABAL",1,"0101a",1938,"127.0","88.0"
"P810405ABAL",1,"0101a",1939,"158.0","111.0"
"P810405ABAL",1,"0101a",1940,"157.0","111.0"
"P810405ABAL",1,"0101a",1941,"176.0","126.0"
"P810405ABAL",1,"0101a",1942,"146.0","105.0"
"P810405ABAL",1,"0101a",1943,"100.0","73.0"
"P810405ABAL",1,"0101a",1944,"106.0","78.0"
"P810405ABAL",1,"0101a",1945,"149.0","111.0"
"P810405ABAL",1,"0101a",1946,"130.0","98.0"
"P810405ABAL",1,"0101a",1947,"113.0","86.0"
"P810405ABAL",1,"0101a",1948,"62.0","48.0"
"P810405ABAL",1,"0101a",1949,"123.0","96.0"
"P810405ABAL",1,"0101a",1950,"76.0","60.0"
"P810405ABAL",1,"0101a",1951,"113.0","90.0"
"P810405ABAL",1,"0101a",1952,"143.0","115.0"
"P810405ABAL",1,"0101a",1953,"226.0","185.0"
"P810405ABAL",1,"0101a",1954,"168.0","139.0"
"P810405ABAL",1,"0101a",1955,"240.0","202.0"
"P810405ABAL",1,"0101a",1956,"132.0","112.0"
"P810405ABAL",1,"0101a",1957,"148.0","128.0"
"P810405ABAL",1,"0101a",1958,"140.0","123.0"
"P810405ABAL",1,"0101a",1959,"169.0","150.0"
"P810405ABAL",1,"0101a",1960,"117.0","105.0"
"P810405ABAL",1,"0101a",1961,"182.0","166.0"
"P810405ABAL",1,"0101a",1962,"126.0","117.0"
"P810405ABAL",1,"0101a",1963,"155.0","146.0"
"P810405ABAL",1,"0101a",1964,"143.0","136.0"
"P810405ABAL",1,"0101a",1965,"86.0","83.0"
"P810405ABAL",1,"0101a",1966,"73.0","72.0"
"P810405ABAL",1,"0101a",1967,"68.0","68.0"
"P810405ABAL",1,"0101a",1968,"57.0","57.0"
"P810405ABAL",1,"0101a",1969,"79.0","80.0"
"P810405ABAL",1,"0101a",1970,"86.0","89.0"
"P810405ABAL",1,"0101a",1971,"63.0","66.0"
"P810405ABAL",1,"0101a",1972,"60.0","63.0"
"P810405ABAL",1,"0101a",1973,"63.0","67.0"
"P810405ABAL",1,"0101a",1974,"20.0","21.0"
"P810405ABAL",1,"0101a",1975,"20.0","21.0"
"P810405ABAL",1,"0101a",1976,"20.0","22.0"
"P810405ABAL",1,"0101a",1977,"0.0","0.0"
"P810405ABAL",1,"0101a",1978,"0.0","0.0"
"P810405ABAL",1,"0101a",1979,"27.0","29.0"
"P810405ABAL",1,"0101a",1980,"35.0","38.0"
"P810405ABAL",1,"0101a",1981,"43.0","47.0"
"P810405ABAL",1,"0101a",1982,"40.0","43.0"
"P810405ABAL",1,"0101a",1983,"51.0","55.0"
"P810405ABAL",1,"0101a",1984,"38.0","41.0"
